Property Name,Amenities,Property Type,City,Country,Month,Price(in dollar),Rating,Number of Reviews,Rating Rank,Price Rank,Province State Region
"Apartment in Port Dickson, Malaysia",PD D'Wharf Premium Suite - Full Seaview (4-6 Pax),Apartment,Port Dickson,Malaysia,June,54.00,4.88,129.0,337,56,
"Apartment in Kuala Lumpur, Malaysia",EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool,Apartment,Kuala Lumpur,Malaysia,June,53.00,4.78,408.0,538,57,
"Shipping container in Tambon Bo Put, Thailand",New 2BR+2Bath Eco Home,Shipping container,Tambon Bo Put,Thailand,July,53.00,4.73,11.0,585,57,
"Apartment in Kuala Lumpur, Malaysia",EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool,Apartment,Kuala Lumpur,Malaysia,June,53.00,4.78,408.0,539,57,
"Room in Kabupaten Buleleng, Indonesia",private villa with infinity pool hill and sea view,Room,Kabupaten Buleleng,Indonesia,October,53.00,4.8,35.0,520,57,
"Apartment in PHUKET, Thailand",★Studio in Seafront Private Villa w/infinity pool★,Apartment,PHUKET,Thailand,June,53.00,4.83,93.0,465,57,
"Apartment in PHUKET, Thailand",★Studio in Seafront Private Villa w/infinity pool★,Apartment,PHUKET,Thailand,June,53.00,4.83,93.0,466,57,
"Apartment in Areti, Greece",Echoes Exclusive Suite,Apartment,Areti,Greece,June,526.00,4.98,40.0,102,58,
"Apartment in Areti, Greece",Echoes Exclusive Suite,Apartment,Areti,Greece,June,526.00,4.98,40.0,103,58,
"Condo in Bayan Lepas, Malaysia",Cozy Seafront Studio Suite Near Queensbay,Condo,Bayan Lepas,Malaysia,June,52.00,4.83,263.0,457,59,
"Villa in Abiansemal, Indonesia","Aura House 2bds Eco Bamboo House, Pool, River View",Villa,Abiansemal,Indonesia,January,513.00,4.87,209.0,363,60,
"Condo in Federal Territory of Kuala Lumpur,, Malaysia",Arte Mont Kiara Muji Suites,Condo,Federal Territory of Kuala Lumpur,Malaysia,June,51.00,4.59,406.0,639,61,
"Cabin in Lazi, Philippines",Enchanted River cabin w/private garden and kitchen,Cabin,Lazi,Philippines,August,51.00,4.85,127.0,415,61,
"Room in Cancún, Mexico","Surf, family & friends! Tropical Room in downtown",Room,Cancún,Mexico,June,51.00,4.95,86.0,173,61,
"Cabin in Medellín, Colombia",Chalet Boutique Saltamontes Santa Elena,Cabin,Medellín,Colombia,June,51.00,4.94,232.0,191,61,
"Cabin in Zapotal, Costa Rica",Pipe’s Lodge,Cabin,Zapotal,Costa Rica,June,51.00,4.87,31.0,376,61,
"Cabin in Lazi, Philippines",Enchanted River cabin w/private garden and kitchen,Cabin,Lazi,Philippines,August,51.00,4.85,127.0,414,61,
"Cabin in Lazi, Philippines",Enchanted River cabin w/private garden and kitchen,Cabin,Lazi,Philippines,August,51.00,4.85,127.0,416,61,
"Villa in Tampaksiring, Indonesia",Luxury 5 BDR Resort w/ Gym & Ricefield View,Villa,Tampaksiring,Indonesia,September,506.00,4.78,101.0,548,62,
"Hotel in Tepoztlán, Mexico",Posada Sarita,Hotel,Tepoztlán,Mexico,June,50.00,4.56,176.0,648,63,
"Hotel in Tepoztlán, Mexico",Posada Sarita,Hotel,Tepoztlán,Mexico,June,50.00,4.56,176.0,647,63,
"Guesthouse in Esche, Germany",Guesthouse an der Vechte,Guesthouse,Esche,Germany,July,50.00,4.94,104.0,199,63,
"Cabin in Ucluelet, Canada",Peace Cabin - private waterfront forest retreat,Cabin,Ucluelet,Canada,September,497.00,4.99,69.0,75,64,
"Room in UbudUbud, Gianyar, Indonesia",Luxe Suite: Villacellabella Ubud Bali Instaworthy,Room,UbudUbud,Indonesia,June,490.00,4.92,167.0,244,65,Gianyar
"Apartment in Tambon Patong, Thailand",One-Bedroom Suite in Patong Beach,Apartment,Tambon Patong,Thailand,June,49.00,4.73,67.0,584,66,
"Condo in Cebu City, Philippines",5-Star Experience at the Heart of Cebu,Condo,Cebu City,Philippines,August,49.00,4.96,280.0,133,66,
"Place to stay in Kamala, Thailand","Maphrao in Kamala, accommodation on the beach",Place to stay,Kamala,Thailand,June,49.00,4.89,37.0,327,66,
"Resort in Langkawi, Malaysia","S101 Beachfront Private Villa,
A Resort by the Sea",Resort,Langkawi,Malaysia,June,49.00,4.75,80.0,572,66,
"Yurt in Finestrat, Spain",Yurt op Off-Grid Homestead,Yurt,Finestrat,Spain,June,49.00,4.92,38.0,252,66,
"Cabin in Hancock, New York, US",The Catskill A-Frame - Mid-Century Modern Cabin,Cabin,Hancock,United States,June,485.00,4.77,146.0,557,67,New York
"Cabin in Klungkung, Indonesia",Dreamy Cliffside Bamboo Villa with Pool and View,Cabin,Klungkung,Indonesia,November,484.00,4.98,58.0,90,68,
"Treehouse in Klungkung, Indonesia",Cliffside Bamboo Treehouse - Private Pool & View,Treehouse,Klungkung,Indonesia,November,484.00,5.0,59.0,12,68,
"Cottage in Oceanside, California, US","Beach Bungalow on the Sand, Steps to the Ocean",Cottage,Oceanside,United States,June,483.00,4.93,213.0,215,69,California
"Home in Shirley, Canada",♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,Home,Shirley,Canada,June,480.00,4.82,125.0,482,70,
"Bungalow in Nusapenida, Indonesia",Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬,Bungalow,Nusapenida,Indonesia,October,474.00,4.93,209.0,216,71,
"Villa in Lian, Philippines",SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,Villa,Lian,Philippines,July,473.00,4.91,11.0,283,72,
"Villa in Lian, Philippines",SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,Villa,Lian,Philippines,July,473.00,4.91,11.0,282,72,
"Condo in Tambon Na Chom Thian, Thailand",Veranda Residence pattaya 1BR partial sea view,Condo,Tambon Na Chom Thian,Thailand,June,47.00,4.8,95.0,517,73,
"Island in El Nido, Philippines","Exclusive Private Island + Brother Island, El Nido",Island,El Nido,Philippines,June,469.00,4.82,131.0,481,74,
"Home in Vero Beach, Florida, US","Heated Pool, Putt Putt Golf",Home,Vero Beach,United States,June,468.00,4.93,15.0,228,75,Florida
"Home in Malibu, California, US",Guesthouse Great Ocean & Mountain Views near Beach,Home,Malibu,United States,July,468.00,4.87,694.0,351,75,California
"Cabin in Rodney, Canada",SECLUDED LAKESIDE CABIN,Cabin,Rodney,Canada,July,463.00,4.99,172.0,70,76,
"Villa in Banjar, Indonesia",4br Lovina Paradise - Ocean View,Villa,Banjar,Indonesia,June,460.00,4.93,40.0,225,77,
"Camper/RV in Wettringen, Germany",Trailer Paradise Ivonete _unwind,Camper/RV,Wettringen,Germany,June,46.00,4.97,71.0,118,78,
"Villa in Tampaksiring, Indonesia",Beetle - Bamboo Villa in Eco Six Bali Resort,Villa,Tampaksiring,Indonesia,October,458.00,4.82,82.0,485,79,
"Home in Kecamatan Tampaksiring, Indonesia",Six-Bamboo Villa in Eco Six Bali Resort,Home,Kecamatan Tampaksiring,Indonesia,September,458.00,5.0,5.0,56,79,
"Villa in Karangasem, Indonesia","Luxury Ocean Front, 2,500sq ft Private Eco Villa!",Villa,Karangasem,Indonesia,June,450.00,4.96,24.0,153,80,
"Villa in Karangasem, Indonesia","Luxury Ocean Front, 2,500sq ft Private Eco Villa!",Villa,Karangasem,Indonesia,June,450.00,4.96,24.0,154,80,
"Condo in Chiang Mai, Thailand",Cozy room 48.5 sq.m @The Astra near Night market,Condo,Chiang Mai,Thailand,June,45.00,4.89,190.0,311,81,
"Condo in Chiang Mai, Thailand",Cozy room 48.5 sq.m @The Astra near Night market,Condo,Chiang Mai,Thailand,June,45.00,4.89,190.0,312,81,
"Condo in Chiang Mai, Thailand",Cozy room 48.5 sq.m @The Astra near Night market,Condo,Chiang Mai,Thailand,June,45.00,4.89,190.0,313,81,
"Apartment in Cancún, Mexico",Amazing Ocean Front II,Apartment,Cancún,Mexico,July,45.00,4.88,306.0,331,81,
"Apartment in Quận 4, Vietnam",DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!,Apartment,Quận 4,Vietnam,June,44.00,4.78,167.0,545,82,
"Apartment in Quận 4, Vietnam",DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!,Apartment,Quận 4,Vietnam,June,44.00,4.78,167.0,546,82,
"Condo in Johor Bahru, Malaysia",【R&F】Studio of Dual-Key Homely Getaway byⓗⓢ,Condo,Johor Bahru,Malaysia,June,44.00,4.78,139.0,547,82,
"Apartment in Tambon Patong, Thailand",1 BR Phuket Modern Luxury Living,Apartment,Tambon Patong,Thailand,June,44.00,4.68,202.0,609,82,
"Hotel in Kecamatan Ubud, Indonesia",Stunning Room Near Ubud Market - Outdoor Pool!!,Hotel,Kecamatan Ubud,Indonesia,September,44.00,4.78,358.0,540,82,
"Cabin in Filipstad N, Sweden",FredrikLars farm at Nordmarksberg Manor,Cabin,Filipstad N,Sweden,June,44.00,4.98,46.0,95,82,
"Room in London, UK",Room available in Greater London suburb home,Room,London,United Kingdom,May,43.00,4.98,94.0,85,83,
"Room in La Habana, Cuba",Casa Blanca B&B with beautiful terrace &sea views,Room,La Habana,Cuba,September,43.00,4.82,359.0,473,83,
"Room in Acapulco, Mexico",Beach crab.,Room,Acapulco,Mexico,June,43.00,4.74,270.0,575,83,
"Room in Rome, Italy",Xavier House,Room,Rome,Italy,October,43.00,4.89,184.0,316,83,
"Chalet in Matapalo, Costa Rica","House1 private swming pool, BBQ ranch, wifi 200mb",Chalet,Matapalo,Costa Rica,June,43.00,4.83,108.0,464,83,
"Villa in Tagaytay, Philippines",My Canopy Tagaytay (with thermal pool),Villa,Tagaytay,Philippines,September,424.00,4.91,81.0,271,84,
"Cabin in Tampaksiring, Indonesia",Dome - Bamboo Villa in Eco Six Bali,Cabin,Tampaksiring,Indonesia,July,420.00,4.87,85.0,371,85,
"Room in La Habana, Cuba",Camera argento in tipica casa coloniale,Room,La Habana,Cuba,June,42.00,4.81,168.0,500,86,
"Treehouse in Mons, France",Delightful rustic treehouse,Treehouse,Mons,France,June,42.00,4.67,9.0,621,86,
"Apartment in Acapulco, Mexico",COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,Apartment,Acapulco,Mexico,June,42.00,4.57,226.0,644,86,
"Room in Rüthen, Germany",Private room in the heart of nature,Room,Rüthen,Germany,June,42.00,4.96,114.0,142,86,
"Tent in Kintamani, Indonesia",Mt Batur Sunrise & overnight,Tent,Kintamani,Indonesia,June,42.00,4.97,29.0,126,86,
"Condo in Cebu City, Philippines",Scenic Cebu City View Condo in Ayala,Condo,Cebu City,Philippines,June,41.00,4.98,315.0,78,87,
"Villa in Phuket, Thailand",Waterfront Traditional Thai Style Pool Villa (V7),Villa,Phuket,Thailand,June,41.00,4.71,82.0,598,87,
"Room in Acapulco, Mexico",Love nest when singing of the Sea!,Room,Acapulco,Mexico,June,41.00,4.68,266.0,608,87,
"Home in Kawartha Lakes, Canada",nortehaus - Nordic and Japanese inspired escape,Home,Kawartha Lakes,Canada,June,402.00,5.0,24.0,24,88,
"Apartment in Melaka, Malaysia",Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView,Apartment,Melaka,Malaysia,June,40.00,4.43,7.0,671,89,
"Chalet in Cajicá, Colombia",Casa Anís,Chalet,Cajicá,Colombia,June,40.00,4.96,202.0,137,89,
"Place to stay in Tepoztlán, Mexico",M6. Alojamiento ideal para explorar Tepoztlán,Place to stay,Tepoztlán,Mexico,June,40.00,4.86,28.0,396,89,
"Apartment in Phuket, Thailand","Luxury room & Sky pool, in Phuket town",Apartment,Phuket,Thailand,June,40.00,4.81,210.0,497,89,
"Apartment in Phuket, Thailand","Luxury room & Sky pool, in Phuket town",Apartment,Phuket,Thailand,June,40.00,4.81,210.0,498,89,
"Treehouse in Torbalı, Turkey","Treehouse Izmir 
View all our houses please ..",Treehouse,Torbalı,Turkey,June,40.00,4.9,394.0,285,89,
"Apartment in Miami, Florida, US","LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",Apartment,Miami,United States,June,398.00,4.89,605.0,303,90,Florida
"Cottage in Harcourt, Canada",Scandinavian-Inspired Tiny Home Experience,Cottage,Harcourt,Canada,September,392.00,4.98,95.0,83,91,
"Tiny home in Cavinti, Philippines","Explore, Experience, Enjoy T-HOUSE Lakestaycation!",Tiny home,Cavinti,Philippines,June,39.00,4.43,160.0,669,92,
"Chalet in Grand Étang, Canada",• Cedar Peak • 2 Bedroom Barrier-Free Chalet,Chalet,Grand Étang,Canada,June,381.00,5.0,48.0,15,93,
"Villa in Kecamatan Tampaksiring, Indonesia",*NEW* Lovely New 3BR Villa Stunning Jungle View,Villa,Kecamatan Tampaksiring,Indonesia,September,381.00,4.7,69.0,601,93,
"Apartment in Playa del Carmen, Mexico",BoHo lofts & studios new modern w/ ocean-view pool,Apartment,Playa del Carmen,Mexico,June,38.00,4.59,183.0,640,94,
"Apartment in Kuala Lumpur, Malaysia",1min KLCC Twin Tower & Pavilion/Ins cottage for best memories,Apartment,Kuala Lumpur,Malaysia,June,38.00,4.91,278.0,261,94,
"Condo in Quận 4, Vietnam",10' walk to Bitexco D1 45sqm Studio - Stay&Fun 01,Condo,Quận 4,Vietnam,June,38.00,4.8,163.0,510,94,
"Apartment in PHUKET, Thailand",Studio in Beachfront Private Villa w/Infinity pool,Apartment,PHUKET,Thailand,June,38.00,4.88,64.0,344,94,
"Home in Las Negras, Spain",La Casita de Las Negras,Home,Las Negras,Spain,June,370.00,4.85,26.0,429,95,
"Apartment in Punta Cana, Dominican Republic",Pool View Beach Residence / Private Beach Access,Apartment,Punta Cana,Dominican Republic,June,37.00,4.71,156.0,595,96,
"Villa in Tampaksiring, Indonesia",Romantic 1br Villa - Ubud Jungle,Villa,Tampaksiring,Indonesia,December,363.00,5.0,13.0,37,97,
"Home in Borinquen, Puerto Rico",The Nest at Crash Boat. Only waterfront on Beach,Home,Borinquen,Puerto Rico,August,363.00,4.9,143.0,295,97,
"Chalet in Durham, Canada",Newly-Constructed Riverfront Chalet,Chalet,Durham,Canada,June,360.00,4.97,95.0,115,98,
"Villa in Rayong, Thailand","Luxury Beach Front Pool Villa, Phuphatara Rayong",Villa,Rayong,Thailand,June,359.00,4.68,85.0,611,99,
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,Cabin,Millbrook,United Kingdom,June,357.00,5.0,61.0,11,100,
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,Cabin,Millbrook,United Kingdom,June,357.00,5.0,61.0,10,100,
"Cabin in Bryson City, North Carolina, US",Secluded View! A-Frame Hot Tub and Fire Pit,Cabin,Bryson City,United States,June,354.00,4.95,20.0,179,101,North Carolina
"Apartment in Phuket, Thailand",Cozy Place near Shopping Center,Apartment,Phuket,Thailand,June,35.00,4.96,237.0,136,102,
"Loft in Pasig, Philippines",Cozy & Modern Loft w/ high speed wi-fi and Netflix,Loft,Pasig,Philippines,July,35.00,4.92,196.0,239,102,
"Loft in Pasig, Philippines",Cozy & Modern Loft w/ high speed wi-fi and Netflix,Loft,Pasig,Philippines,July,35.00,4.92,196.0,240,102,
"Cabin in Reaboro, Canada",Cedar Springs Cabin - A Cozy Hideaway in the Woods,Cabin,Reaboro,Canada,June,346.00,4.97,76.0,116,103,
"Campsite in Nemaiah Valley, Canada",Sunset Wilderness Camp,Campsite,Nemaiah Valley,Canada,June,34.00,4.0,3.0,681,104,
"Room in El Nido, Philippines",A Divers Home: beachfront room with sunset view,Room,El Nido,Philippines,June,34.00,4.89,98.0,323,104,
"Room in Kecamatan Denpasar Selatan, Indonesia",Poolside room in large villa. 5 minutes to beach.,Room,Kecamatan Denpasar Selatan,Indonesia,August,34.00,5.0,37.0,18,104,
"Apartment in Kadıköy, Turkey",Studio apartment with AC - Suite 3,Apartment,Kadıköy,Turkey,June,34.00,5.0,3.0,62,104,
"Condo in Pasig, Philippines",A Chic and Cozy 2Br Unit w/ Netflix and Disney+,Condo,Pasig,Philippines,June,34.00,4.94,295.0,189,104,
"Home in Avalon, California, US","Tropical Island Escape w/ Deck, Walk to Avalon Bay",Home,Avalon,United States,June,336.00,4.34,80.0,677,105,California
"Cottage in Huntsville, Canada","Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway",Cottage,Huntsville,Canada,June,335.00,4.97,179.0,109,106,
"Dome in Windermere, Canada",Cougar Dome at Winderdome Resort!,Dome,Windermere,Canada,August,335.00,5.0,16.0,31,106,
"Tiny home in Malibu, California, US","Malibu Charming GH, Mins Drive to Beach & Hike",Tiny home,Malibu,United States,July,332.00,4.78,558.0,536,107,California
"Apartment in Pasay, Philippines",Comfy-Cozy-Cheap @ NAIA 3 near RW w/ NETFLIX,Apartment,Pasay,Philippines,July,33.00,4.86,692.0,377,108,
"Home in Tegallalang, Indonesia",Romantic hideaway for two,Home,Tegallalang,Indonesia,October,33.00,4.97,229.0,108,108,
"Apartment in 清迈, Thailand",清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road,Apartment,清迈,Thailand,June,33.00,4.68,158.0,610,108,
"Bungalow in Ko Samui, Thailand",B4: Sea Breeze Bungalow with Ensuite and AC,Bungalow,Ko Samui,Thailand,June,33.00,4.82,191.0,478,108,
"Guesthouse in Kecamatan Kuta Utara, Indonesia",Tropical Private Room Canggu 3 by Rios Guest House,Guesthouse,Kecamatan Kuta Utara,Indonesia,August,33.00,4.86,7.0,399,108,
"Barn in Nes På Hedmark, Norway","Sommerfjøset on Hovelsrud, Helgøya",Barn,Nes På Hedmark,Norway,July,328.00,4.96,136.0,140,109,
"Villa in Kecamatan Kuta Utara, Indonesia",Gorgeous luxury 1 bedroom villa in heart of Canggu,Villa,Kecamatan Kuta Utara,Indonesia,September,325.00,4.87,47.0,374,110,
"Villa in Kecamatan Ubud, Indonesia",Elegant & luxurious 3 BR villa rice-fields pano,Villa,Kecamatan Ubud,Indonesia,June,322.00,4.65,94.0,626,111,
"Dome in Lac-Supérieur, Canada",Dome L'Albatros | Private Spa | BBQ Zone,Dome,Lac-Supérieur,Canada,July,322.00,4.86,196.0,384,111,
"Loft in Cholula, Mexico",Architect's Loft in Cholula,Loft,Cholula,Mexico,June,32.00,4.81,202.0,499,112,
"Place to stay in Nusa Penida, Indonesia",Tide 2 in Penida Tides Cottage,Place to stay,Nusa Penida,Indonesia,July,32.00,4.85,68.0,420,112,
"Apartment in Tambon Hua Hin, Thailand",La Casita Hua Hin 2,Apartment,Tambon Hua Hin,Thailand,June,32.00,4.75,170.0,570,112,
"Place to stay in Nusa Penida, Indonesia",Tide 2 in Penida Tides Cottage,Place to stay,Nusa Penida,Indonesia,July,32.00,4.85,68.0,421,112,
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,Dome,Wapnica,Poland,June,319.00,4.98,52.0,91,113,
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,Dome,Wapnica,Poland,June,319.00,4.98,52.0,92,113,
"Chalet in Saint-Damien, Canada",The Majesta ! Incredible Sunset !,Chalet,Saint-Damien,Canada,June,315.00,5.0,11.0,40,114,
"Condo in Saint-Lary-Soulan, France",Studio lookout,Condo,Saint-Lary-Soulan,France,June,31.00,4.45,240.0,663,115,
"Apartment in phường 6, Vietnam",CITY APART ★ CENTRAL City-FREE Pool & Gym,Apartment,phường 6,Vietnam,June,31.00,4.64,96.0,628,115,
"Room in Chom Phon, Thailand",15min walk to MRT Private room for 3 Free Brekkie.,Room,Chom Phon,Thailand,June,31.00,4.9,255.0,290,115,
"Room in Mexico City, Mexico",5 min to Airport with Terrace in a Safe area !,Room,Mexico City,Mexico,June,31.00,4.85,227.0,406,115,
"Chalet in Skykomish, Washington, US",Sky Haus - A-Frame Cabin,Chalet,Skykomish,United States,June,306.00,4.85,531.0,401,116,Washington
"Home in Kecamatan Ubud, Indonesia",PROMO! Luxury Villa Escape in Ubud 2 BR,Home,Kecamatan Ubud,Indonesia,September,306.00,5.0,4.0,60,116,
"Home in Kecamatan Ubud, Indonesia",PROMO! Luxury Villa Escape in Ubud 2 BR,Home,Kecamatan Ubud,Indonesia,September,306.00,5.0,4.0,61,116,
"Home in Kecamatan Selat, Indonesia",The Nude House,Home,Kecamatan Selat,Indonesia,July,305.00,4.68,19.0,612,117,
"Guest suite in North Vancouver, Canada",The Brite House - Oceanfront Sojourn,Guest suite,North Vancouver,Canada,June,305.00,4.87,319.0,358,117,
"Home in Kecamatan Selat, Indonesia",The Nude House,Home,Kecamatan Selat,Indonesia,July,305.00,4.68,19.0,613,117,
"Condo in Lahaina, Hawaii, US",Noelani-My Perfect Stays Special: Jun 9-16 $189,Condo,Lahaina,United States,June,302.00,4.82,71.0,486,118,Hawaii
"Condo in Miami Beach, Florida, US",Oceanfront 14th Floor Brand New Beachfront Flat,Condo,Miami Beach,United States,June,302.00,4.85,646.0,400,118,Florida
"Condo in Miami Beach, Florida, US",New 16th Floor Beachfront 180º Oceanview Apartment,Condo,Miami Beach,United States,June,302.00,4.87,659.0,352,118,Florida
"Condo in Miami Beach, Florida, US",Oceanfront 16th Floor Brand New Beachfront Flat,Condo,Miami Beach,United States,June,302.00,4.83,683.0,454,118,Florida
"Cabin in Mineral Bluff, Georgia, US",Scenic Solitude-Amazing Mountain views on 5 acres,Cabin,Mineral Bluff,United States,June,302.00,5.0,44.0,17,118,Georgia
"Dome in Sandgate, Vermont, US",“Whimsical Stone Abode” - Boston Magazine,Dome,Sandgate,United States,June,301.00,5.0,244.0,2,119,Vermont
"Apartment in Shah Alam, Malaysia",*SETIA ALAM* Big Luxury Comfort Homestay #Trefoil,Apartment,Shah Alam,Malaysia,June,30.00,4.87,171.0,366,120,
"Room in Khet Din Daeng, Thailand",Comfy Room with Bathroom near MRT Phra Ram 9,Room,Khet Din Daeng,Thailand,August,30.00,4.99,72.0,74,120,
"Condo in Pasay, Philippines","One Bedroom Condo in Roxas Boulevard, Pasay City",Condo,Pasay,Philippines,June,30.00,4.77,332.0,554,120,
"Condo in Melaka, Malaysia",B2733/Seaview/5mins to Jonker/Imperio/Studio/4pax,Condo,Melaka,Malaysia,June,30.00,4.71,230.0,594,120,
"Hotel room in Thành phố Hội An, Vietnam",FIG TREE BOUTIQUE VILLA,Hotel room,Thành phố Hội An,Vietnam,June,30.00,4.83,92.0,467,120,
"Condo in Tagaytay, Philippines",Serenity Tagaytay Home w/ WIFI & NETFLIX,Condo,Tagaytay,Philippines,June,30.00,4.79,447.0,525,120,
"Condo in East End, U.S. Virgin Islands",Beautiful corner unit condo right on the beach!,Condo,East End,U.S. Virgin Islands,June,298.00,4.97,73.0,117,121,
"Treehouse in Penzance, UK",Peaceful Country Treehouse Nr Penzance & St Ives,Treehouse,Penzance,United Kingdom,July,294.00,4.95,292.0,162,122,
"Dome in Whittier, North Carolina, US",Luxury Dome w/ Hot Tub & Mountain View,Dome,Whittier,United States,August,291.00,5.0,11.0,41,123,North Carolina
"Condo in Ocean City, Maryland, US",OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,Condo,Ocean City,United States,June,291.00,4.94,80.0,204,123,Maryland
"Room in Kecamatan Ubud, Indonesia",Odesa Villa1 Ubud close to center,Room,Kecamatan Ubud,Indonesia,June,29.00,5.0,9.0,51,124,
"Condo in Melaka, Malaysia",B1706/5 mins drive to Jonker/Imperio/Studio/4pax,Condo,Melaka,Malaysia,June,29.00,4.79,195.0,530,124,
"Room in La Habana, Cuba",Fauria Colonial House (Room 3),Room,La Habana,Cuba,June,29.00,4.92,75.0,250,124,
"Apartment in Kecamatan Senen, Indonesia",5* Studio Resort like: Mason Place Capitol Park,Apartment,Kecamatan Senen,Indonesia,June,29.00,4.95,112.0,170,124,
"Room in Mexico City, Mexico","Room in apartment, traditional neighborhood",Room,Mexico City,Mexico,July,29.00,4.84,58.0,451,124,
"Hotel room in Laguna Beach, California, US",Beachfront Laguna Beach Magnificent Oceanviews 26,Hotel room,Laguna Beach,United States,June,287.00,4.38,396.0,673,125,California
"Cabin in Center Conway, New Hampshire, US",Warm Pine A-frame Nestled In The Trees!,Cabin,Center Conway,United States,July,287.00,4.79,536.0,524,125,New Hampshire
"Treehouse in Marion, North Carolina, US",Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,Treehouse,Marion,United States,August,286.00,5.0,21.0,25,126,North Carolina
"Nature lodge in Las Galeras, Dominican Republic","Casa El Paraiso, Las Galeras (room #5)",Nature lodge,Las Galeras,Dominican Republic,June,286.00,4.94,270.0,190,126,
"Apartment in Thalang, Thailand",Luxurious private 2bedrm seafront Phuket penthouse,Apartment,Thalang,Thailand,September,286.00,4.92,185.0,241,126,
"Camper/RV in Ashford, Washington, US",The Alpine Airstream at Mt. Rainier with Hot Tub,Camper/RV,Ashford,United States,June,286.00,5.0,11.0,42,126,Washington
"Treehouse in Sandane , Norway",Amazing panoramic tree house Norway,Treehouse,Sandane,Norway,June,285.00,4.86,410.0,381,127,
"Apartment in Tulum, Mexico",Design Casa Patchouli with private pool and lounge,Apartment,Tulum,Mexico,June,283.00,4.98,80.0,89,128,
"Villa in Morongo Valley, California, US",Pink Galaxy | Private Observatory · Hot Tub · Pool,Villa,Morongo Valley,United States,June,283.00,5.0,9.0,47,128,California
"Treehouse in Ubud, Indonesia","Promo Price! Magical Treehouse, Stunning Views.",Treehouse,Ubud,Indonesia,August,280.00,4.78,528.0,537,129,
"Room in Khlong Ton Sai, Khlong San, Thailand",*Hidden Oasis Bangkok 1 | Near ICONSIAM,Room,Khlong Ton Sai,Thailand,July,28.00,4.86,166.0,389,130,Khlong San
"Condo in Manila, Philippines",[50mbps+NETFLIX] Your home in the heart of Manila,Condo,Manila,Philippines,June,28.00,4.73,159.0,581,130,
"Hotel room in Laguna Beach, California, US",Oceanfront Laguna Beach Amazing Views 28,Hotel room,Laguna Beach,United States,June,276.00,4.63,390.0,630,131,California
"Boat in Marathon, Florida, US",Paradise awaits on this cozy houseboat!,Boat,Marathon,United States,July,276.00,4.77,98.0,561,131,Florida
"Guesthouse in Peachland, Canada",Romantic lakefront estate with lake view & deck,Guesthouse,Peachland,Canada,June,271.00,5.0,311.0,1,132,
"Dome in Joshua Tree, California, US",Dome in the Desert in Joshua Tree,Dome,Joshua Tree,United States,June,268.00,4.94,944.0,182,133,California
"Guest suite in Bingin Beach, Indonesia",Suite 2 - Beachfront Luxury Suite on Bingin Beach,Guest suite,Bingin Beach,Indonesia,October,267.00,4.93,96.0,221,134,
"Guest suite in Bingin Beach, Indonesia",Suite 2 - Beachfront Luxury Suite on Bingin Beach,Guest suite,Bingin Beach,Indonesia,October,267.00,4.93,96.0,220,134,
"Villa in Nusa Ceningan, Indonesia",Beautiful villa on the edge of BLUE LAGOON,Villa,Nusa Ceningan,Indonesia,June,264.00,4.83,1239.0,453,135,
"Villa in Pemuteran, Indonesia","Villa Arun, Sumberkima Hill",Villa,Pemuteran,Indonesia,August,262.00,4.88,57.0,345,136,
"Villa in Pemuteran, Indonesia","Villa Arun, Sumberkima Hill",Villa,Pemuteran,Indonesia,August,262.00,4.88,57.0,346,136,
"Condo in Myrtle Beach, South Carolina, US",Cool Clean Condo with Brilliant Oceanfront View,Condo,Myrtle Beach,United States,June,261.00,4.58,108.0,643,137,South Carolina
"Tiny home in Puerto Escondido, Mexico",Casa Tiny near Casa Wabi,Tiny home,Puerto Escondido,Mexico,June,261.00,4.84,555.0,436,137,
"Bungalow in Naiyang Beach, Thailand","Baan Rom Pruk private house, near Naiyang beach",Bungalow,Naiyang Beach,Thailand,June,26.00,4.96,172.0,138,138,
"Condo in Cebu City, Philippines",Cozy City Condo at Horizons 101 [ W/ WIFI ].,Condo,Cebu City,Philippines,June,26.00,4.44,220.0,666,138,
