title,property_type,city,country,detail,amenities,date,day,month,price,rating,review
"Apartment in San José del Cabo, Mexico",,,US,Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,"Ocean front, Air conditioning",Jun 22 - 29,22,6,78.0,4.75,
"Cabin in Puerto Viejo de Talamanca, Costa Rica",,,US,Tiny Beach front house,Air conditioning,Jul 24 - 29,24,7,89.0,4.73,
"Tiny home in Tremont, Maine, US",,,US,Coyote's Den at The Howling Woods,,Jun 28 - Jul 3,28,,123.0,4.87,
"Home in Manzanita, Oregon, US",,,US,"Near Ocean, BBQ, Dog OK, Cute Manzanita Beach",Air conditioning,Jun 1 - 6,1,6,147.0,,
"Home in Hamilton, Canada",,,US,Stunning house on lake Ontario,,Jun 25 - 30,25,6,210.0,4.9,
"Tiny home in Key Largo, Florida, US",,,US,"Oceanfront Lookout Point w/two Kayaks,Beach & Dock",Air conditioning,Aug 12 - 17,12,8,254.0,4.86,
"Hotel in Willemstad, Curaçao",,,US,Saint Tropez Boutique Hotel,,Jun 22 - 27,22,6,125.0,4.78,
"Cabin in Bowen Island, Canada",,,US,the legendary wildwood cabins ~ CABIN 4,,Jul 8 - 13,8,7,173.0,4.98,
"Room in Key West, Florida, US",,,US,1-Private room/bbq/patio. 2 full bed 1 couch bed.,,Jul 29 - Aug 3,29,,258.0,4.83,
"Condo in East End, U.S. Virgin Islands",,,US,Beautiful corner unit condo right on the beach!,Air conditioning,Jun 3 - 8,3,6,298.0,4.97,
"Boat in Stuart, Florida, US",,,US,House Boat Sunset Bay Marina Stuart Fl,,Sep 10 - 15,10,9,127.0,4.92,
"Apartment in Guanacaste Province, Costa Rica",,,US,Surf Shack Guiones - perfect beach location,Air conditioning,Jun 17 - 24,17,6,130.0,4.82,
"Hut in Balderson, Canada",,,US,Glamping Cabin at Balderson Blueberries,,Jun 11 - 16,11,6,80.0,4.89,
"Tiny home in Aptos, California, US",,,US,Bamboo Cottage in Aptos Mountain Retreat & Spa,,Jul 16 - 21,16,7,130.0,4.78,
"Guesthouse in Naalehu, Hawaii, US",,,US,The Ohana,,Jun 23 - 28,23,6,99.0,4.86,
"Condo in Honolulu, Hawaii, US",,,US,23FL Skyline King Studio w/Ocean & City Views.,,Jun 12 - 18,12,6,221.0,4.95,
"Boutique hotel in Miami Beach, Florida, US",,,US,Room 2 Queen beds- Buffet Breakfast-Steps to beach,Air conditioning,Jun 5 - 10,5,6,116.0,4.38,
"Condo in Miami, Florida, US",,,US,"Luxury Condo in Hotel, amenities Downtown/Brickell",,Jun 11 - 16,11,6,219.0,4.94,
"Guesthouse in Naalehu, Hawaii, US",,,US,The Ohana,,Jun 23 - 28,23,6,99.0,4.86,
"Tiny home in Sackville, Canada",,,US,Enchanting Tiny Home 1 KM from downtown Sackville,Air conditioning,Jun 3 - 8,3,6,117.0,4.86,
"Apartment in Carolina, Puerto Rico",,,US,Isla Verde Beach Studio {105},Air conditioning,Jul 23 - 28,23,7,97.0,4.67,
"Condo in Atlantic City, New Jersey, US",,,US,Beachfront Condo Now Available! Sleeps 4 + Parking,"Ocean front, Parking, Air conditioning",Jun 4 - 9,4,6,133.0,4.51,
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",,,US,CASA BADAWI in 400m Tropical Garden. Optical Fiber,,Jun 6 - 11,6,6,72.0,4.96,
"Apartment in Santa Teresa Beach, Costa Rica",,,US,Beachside Apartment with Pool,"Pool, Air conditioning",Jun 10 - 15,10,6,117.0,4.84,
"Condo in Miami Beach, Florida, US",,,US,Oceanfront 16th Floor Brand New Beachfront Flat,"Ocean front, Air conditioning",Jun 7 - 12,7,6,302.0,4.83,
"Chalet in Matapalo, Costa Rica",,,US,"House1 private swming pool, BBQ ranch, wifi 200mb","Pool, Wi-Fi",Jun 26 - Jul 1,26,,43.0,4.83,
"Room in Panama City Beach, Florida, US",,,US,"LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",Air conditioning,Jun 17 - 22,17,6,146.0,4.88,
"Apartment in Yachats, Oregon, US",,,US,Beachfront Escape Unit #1 at Beachcomber Cottages,"Ocean front, Air conditioning",Jun 20 - 25,20,6,212.0,4.54,
"Condo in San Juan, Puerto Rico",,,US,CDM-Beach living @ Condado with pool and parking!,"Pool, Parking, Air conditioning",Jul 9 - 14,9,7,144.0,4.84,
"Condo in Luquillo, Puerto Rico",,,US,AHHH-MAZING VIEWS! Beach Front Apt.,Air conditioning,Sep 6 - 12,6,9,121.0,4.88,
"Home in Avalon, California, US",,,US,"Tropical Island Escape w/ Deck, Walk to Avalon Bay",,Jun 19 - 24,19,6,336.0,4.34,
"Cabin in Sorrento, Canada",,,US,"The Thimbleberry MicroCabin near lake, hot tub use",Jacuzzi,Jun 4 - 9,4,6,108.0,4.97,
"Room in Miami, Florida, US",,,US,Private room/bathroom in modern house with Pool,Pool,Jul 8 - 14,8,7,128.0,4.83,
"Apartment in Miami Beach, Florida, US",,,US,"Modern 1/1, Half a Block from The Ocean",,Jun 12 - 17,12,6,140.0,4.75,
"Room in Kailua-Kona, Hawaii, US",,,US,Satori Suite (The Bamboo House),,Jun 9 - 14,9,6,199.0,4.91,
"Apartment in Cancún, Mexico",,,US,Cancun Suites (Standard Room),,Jul 2 - 8,2,7,81.0,4.47,
"Room in Galveston, Texas, US",,,US,Tropicana Suite-Grand Manor Luxury Mansion Loft,,Aug 6 - 12,6,8,92.0,4.86,
"Room in Kissimmee, Florida, US",,,US,Disney/Universal Home Away from Home!,,Aug 20 - 25,20,8,162.0,4.95,
"Villa in Morongo Valley, California, US",,,US,Pink Galaxy | Private Observatory · Hot Tub · Pool,"Pool, Jacuzzi",Jun 7 - 12,7,6,283.0,5.0,
"Room in La Habana, Cuba",,,US,Camera argento in tipica casa coloniale,,Jun 19 - 24,19,6,42.0,4.81,
"Room in Kihei, Hawaii, US",,,US,"GARDEN ROOM, private bathroom, separate entrance",,Jun 24 - 29,24,6,184.0,4.96,
"Treehouse in Zona Hotelera, Mexico",,,US,"Tree House - Beach Area, KS bed, 3 PPL",Air conditioning,Jul 10 - 15,10,7,157.0,4.75,
"Apartment in Playa del Carmen, Mexico",,,US,It Hotel & Residences - Studio Rental in PDC,,Jun 3 - 8,3,6,75.0,4.79,
"Hotel in Isla Mujeres, Mexico",,,US,"Cozy & Neat hotel room 2pax ocean view WiFi,Pool","Pool, Ocean view, Wi-Fi",Aug 5 - 10,5,8,115.0,4.52,
"Hostel in Tulum, Mexico",,,US,Meteora Stay & Coffehouse Tulum - Deluxe Queen,,Jun 1 - 6,1,6,59.0,4.74,
"Home in Oceanside, Oregon, US",,,US,Movie Theater + Kid Friendly | Book the Dome!,,Jun 4 - 9,4,6,200.0,4.97,
"Room in Wilmington, New York, US",,,US,My Adirondack Home - Very Scenic,Air conditioning,Jun 5 - 10,5,6,107.0,4.96,
"Condo in Miami Beach, Florida, US",,,US,New 16th Floor Beachfront 180º Oceanview Apartment,"Ocean front, Air conditioning",Jun 1 - 6,1,6,302.0,4.87,
"Room in Cancún, Mexico",,,US,Camilo's Luxury Shared Townhouse,,Jul 13 - 18,13,7,81.0,4.87,
"Room in Cancún, Mexico",,,US,"Surf, family & friends! Tropical Room in downtown",,Jun 3 - 8,3,6,51.0,4.95,
"Apartment in Cancún, Mexico",,,US,1208 Beach property part ocean & pool view,"Pool, Air conditioning",Jun 2 - 7,2,6,79.0,4.64,
"Treehouse in Sandane , Norway",,,US,Amazing panoramic tree house Norway,,Jun 4 - 9,4,6,285.0,4.86,
"Home in Jurków, Poland",,,US,Beachfront Cottage on the Lake,"Ocean front, Air conditioning",Jun 11 - 16,11,6,140.0,4.72,
"Farm stay in Şarköy, Turkey",,,US,Off-Grid vineyard and olive orchard home.,,Jun 7 - 13,7,6,144.0,5.0,
"Cabin in Hvanneyri, Iceland",,,US,Mirror House Iceland,,Sep 1 - 6,1,9,735.0,,
"Place to stay in Krabčice, Czechia",,,US,"R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",,Jun 1 - 6,1,6,78.0,4.92,
"Condo in Fiumicino, Italy",,,US,LOVE Attic,,Jun 4 - 9,4,6,209.0,4.85,
"Cabin in Güejar Sierra, Spain",,,US,Natural show in Cabaña Alcazaba,,Jun 11 - 16,11,6,111.0,4.86,
"Cabin in Teo, Spain",,,US,MU_Moradas no Ulla 6. Cabañas de Compostela.,,Jun 11 - 16,11,6,112.0,4.96,
"Place to stay in Hol, Norway",,,US,Unik Hobbit Cabin,,Jun 1 - 6,1,6,221.0,4.84,
"Farm stay in Nyköping S, Sweden",,,US,Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,"Wi-Fi, Kitchen, Parking",Jun 26 - Jul 1,26,,73.0,4.89,
"Houseboat in Jickovice, Czechia",,,US,"Boat in Orlik, you want it!",,Jun 8 - 13,8,6,78.0,4.31,
"Cabin in Hornedo, Spain",,,US,Forest cabin,,Sep 26 - Oct 2,26,,80.0,4.84,
"Home in Viana do Castelo, Portugal",,,US,Amonde Village - Casa P * Comfort & Quality,,Jun 18 - 25,18,6,168.0,4.98,
"Tower in Gombola, Italy",,,US,Tower house Gombola,,Jun 4 - 9,4,6,166.0,4.87,
"Cabin in Darżkowo, Poland",,,US,hut in the mid. of nowhere + priv pond+3 ha,,Jun 1 - 6,1,6,181.0,4.79,
"Home in Kenilworth, UK",Home,Kenilworth,UK,The Water Tower at Long Meadow Farm,,Jun 4 - 9,4,6,246.0,4.85,
"Room in Dassel, Germany",,,US,Alte Wassermühle Friedrichshausen - Eulenstube,,Jun 10 - 15,10,6,55.0,4.96,
"Farm stay in Montregard, France",,,US,Vovady Farm : Roulotte Bohème,,Jun 1 - 6,1,6,82.0,4.85,
"Room in Saint-Ouen, France",,,US,Biron aux Puces de Saint Vincent Market,,Oct 29 - Nov 3,29,,95.0,4.9,
"Cabin in Gällstad, Sweden",,,US,Cabin on the countryside close to the small city.,,Jun 10 - 15,10,6,111.0,4.71,
"Cabin in Trasquera, Italy",,,US,La Barona Chalet,,Jun 4 - 9,4,6,223.0,4.99,
"Shepherd’s hut in Hessisch Lichtenau, Germany",,,US,"""Lieblingsplatz"" shepherd's hut",,Jun 2 - 7,2,6,55.0,4.96,
"Hut in Oxfordshire, UK",Hut,Oxfordshire,UK,Rectory Farm Hideaway,,Aug 28 - Sep 2,28,,178.0,4.93,
"Tiny home in Draperstown, UK",Tiny home,Draperstown,UK,The Black Shack @ Bancran School,Air conditioning,Aug 4 - 9,4,8,169.0,4.97,
"Apartment in Calpe, Spain",,,US,Apartment Caribe - PlusHolidays,,Jun 1 - 6,1,6,80.0,3.67,
"Shepherd’s hut in Saint-Nabord, France",,,US,Anty's Pond: Davy Crockett's Hut,,Jun 23 - 28,23,6,93.0,4.87,
"Apartment in Biarritz, France",,,US,Biarritz Grande Plage 25m2 with Balcony,,Jun 1 - 6,1,6,176.0,4.91,
"Trullo in Ostuni, Italy",,,US,TRULLO ISABELLA,,Jun 25 - 30,25,6,158.0,4.98,
"Farm stay in Girvan, UK",Farm stay,Girvan,UK,Secluded Hand crafted log cabin,,Jun 5 - 10,5,6,139.0,5.0,
"Cabin in Monmouth, UK",Cabin,Monmouth,UK,Stargazer Cabin - Monmouth Walking Distance Town,,Jul 27 - Aug 1,27,,240.0,4.9,
"Home in Miazzina, Italy",,,US,"Baita Vrei (2)""Titta"" - Hut Lago Maggiore",,Jun 4 - 9,4,6,61.0,4.84,
"Tiny home in Poltimore, UK",Tiny home,Poltimore,UK,Tranquil retreat with fantastic countryside views,,Aug 2 - 7,2,8,115.0,4.92,
"Villa in Pollina, Italy",,,US,Romantic and one-of-a-kind Beachouse,Air conditioning,Oct 12 - 17,12,10,183.0,4.88,
"Condo in Χράνοι, Greece",,,US,Ilaira Apartments,,Jun 7 - 12,7,6,86.0,4.86,
"Apartment in Rodos, Greece",,,US,Central 1bedroom apt by the sea,,Oct 10 - 15,10,10,61.0,4.76,
"Tiny home in Midmar, UK",Tiny home,Midmar,UK,Cosy Romantic Cabin with Wood Burning Stove.,,Jun 11 - 16,11,6,107.0,4.96,
"Farm stay in Agello, Italy",,,US,Historic residence surrounded by olive trees,,Jun 12 - 17,12,6,75.0,4.98,
"Cabin in Adainville, France",,,US,Wonderful Old Cabin on Rare Natural Site,,Jun 11 - 16,11,6,147.0,4.93,
"Castle in Vay, France",,,US,"Stay in the castle, with family or friends",,Jun 18 - 23,18,6,92.0,4.94,
"Room in Aljezur, Portugal",,,US,XS Village - Arrifana Suite (private bathroom),,Jun 24 - 29,24,6,100.0,4.96,
"Barn in Rattray, UK",Barn,Rattray,UK,The Loft at the Bonnington Farm,,Jun 15 - 21,15,6,135.0,4.89,
"Hotel room in Muratpaşa, Turkey",,,US,KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,Air conditioning,Jun 25 - 30,25,6,83.0,4.73,
"Earthen home in Bronwydd Arms, UK",Earthen home,Bronwydd Arms,UK,strawbale roundhouse for vegetarian,,Jun 29 - Jul 4,29,,108.0,4.9,
"Room in Behren-Lübchin, Germany",,,US,Wohnung Ruth Herrenhaus Viecheln Anno 1869,,Jun 11 - 16,11,6,121.0,4.97,
"Tiny home in Les Haudères, Switzerland",,,US,Swiss Tiny Chalet,,Jun 1 - 6,1,6,109.0,4.8,
"Chalet in Étival, France",,,US,The Napoleonic period chalet in the High Jura,,Jul 16 - 21,16,7,105.0,4.98,
"Home in Rémalard, France",,,US,"Moulin de Boiscorde, ideal for couples and families",,Jun 2 - 7,2,6,128.0,4.9,
"Farm stay in Montepulciano, Italy",,,US,Rural Tuscany | Wine farm with pool | Terrarossa,Pool,Jun 14 - 20,14,6,148.0,4.33,
"Trullo in Ostuni, Italy",,,US,Magical Trullo in Ostuni Cis BR0740129000012213,,Jul 19 - 24,19,7,105.0,4.87,
"Cabin in Nowy Targ, Poland",,,US,Gruszkówka 1 Cottage (7 km from Białka ),,Jun 18 - 25,18,6,96.0,4.98,
"Shepherd’s hut in Hollacombe, UK",Shepherd’s hut,Hollacombe,UK,Woodland Stargazing Cabin,,Jun 2 - 7,2,6,133.0,4.83,
"Room in London, UK",Room,London,UK,Room available in Greater London suburb home,,May 1 - 6,1,5,43.0,4.98,
"Apartment in Megalochori, Greece",,,US,Casa Tua,,Jun 4 - 9,4,6,142.0,4.66,
"Farm stay in Catsfield, UK",Farm stay,Catsfield,UK,CABIN X GPF,,Jun 25 - 30,25,6,225.0,4.99,
"Room in La Zubia, Spain",,,US,Alhambra Trails 2,,Jun 6 - 13,6,6,94.0,4.78,
"Chalet in Afa, France",,,US,""" La cabane du Gozzi""",,Jun 1 - 6,1,6,85.0,4.79,
"Apartment in Ericeira, Portugal",,,US,FLH Ericeira Ocean Flat,,Jul 16 - 21,16,7,216.0,4.45,
"Room in Rouffignac-de-Sigoulès, France",,,US,manoir 19 ème siècle LE COUTUREAU isaline,,Jun 1 - 6,1,6,135.0,5.0,
"Guesthouse in Esche, Germany",,,US,Guesthouse an der Vechte,,Jul 22 - 27,22,7,50.0,4.94,
"Condo in Kremasti, Greece",,,US,L & C Deluxe Apartment - luxury and comfort,,Jun 6 - 11,6,6,136.0,5.0,
"Room in Torreglia, Italy",,,US,Country House,,Jun 11 - 16,11,6,69.0,4.94,
"Cave in Mesaria, Greece",,,US,Luxury Triple cave room,,Jun 12 - 17,12,6,129.0,4.72,
"Barn in Nutley, UK",Barn,Nutley,UK,Rural Retreat on the Ashdown Forest,,Jun 12 - 17,12,6,184.0,4.96,
"Castle in Winningen, Germany",,,US,Magazine - Oskar Schwebel -,,Jun 11 - 16,11,6,136.0,4.66,
"Home in Baião, Portugal",,,US,CasasdoCasinhotoD-Rustic House (pool; river view),Pool,Jun 12 - 17,12,6,131.0,4.81,
"Nature lodge in Highland Council, UK",Nature lodge,Highland Council,UK,Elegant Little Wyvis Lodge - Sleeps 2,,Jun 2 - 7,2,6,159.0,4.96,
"Cabin in Totana, Spain",,,US,Rural Aledo - El Estrecho,,Jun 18 - 25,18,6,76.0,4.78,
"Treehouse in Fountana, Greece",,,US,Nasos' Treehouse,,Jun 1 - 6,1,6,98.0,4.81,
"Cabin in Filipstad N, Sweden",,,US,FredrikLars farm at Nordmarksberg Manor,,Jun 24 - 30,24,6,44.0,4.98,
"Room in Borgo Valsugana, Italy",,,US,"La Tana del Lupo B&B, family and outdoor sports",,Sep 18 - 23,18,9,73.0,4.99,
"Cabin in Llandissilio, UK",Cabin,Llandissilio,UK,The Llama Lodge - a Log Cabin on a Llama Farm,,Jun 4 - 9,4,6,205.0,4.92,
"Camper/RV in Mayen, Germany",,,US,"Quaint ""Petra Lustig"" construction car",,Jun 24 - 30,24,6,48.0,,
"Room in Torreglia, Italy",,,US,Country House,,Jun 11 - 16,11,6,69.0,4.94,
"Cave in Mesaria, Greece",,,US,Luxury Triple cave room,,Jun 12 - 17,12,6,129.0,4.72,
"Castle in Winningen, Germany",,,US,Magazine - Oskar Schwebel -,,Jun 11 - 16,11,6,136.0,4.66,
"Treehouse in Fountana, Greece",,,US,Nasos' Treehouse,,Jun 1 - 6,1,6,98.0,4.91,
"Vacation home in Akrotiri, Greece",,,US,The North Windmill ⚓ Unique House with View,,Jun 9 - 14,9,6,184.0,4.98,
"Cabin in Llandissilio, UK",Cabin,Llandissilio,UK,The Llama Lodge - a Log Cabin on a Llama Farm,,Jun 4 - 9,4,6,205.0,4.95,
"Cottage in Trefeinon, UK",Cottage,Trefeinon,UK,Bumble Bee Cottage,,Jun 11 - 16,11,6,141.0,4.93,
"Yurt in Cynwyd, UK",Yurt,Cynwyd,UK,Gorgeous yurt in amazing mountain/forest location,,Jul 12 - 17,12,7,107.0,4.91,
"Apartment in Athina, Greece",,,US,"Diamond Home 1, romantic gem, 20 min to Acropolis",Air conditioning,Jul 5 - 10,5,7,112.0,4.79,
"Trullo in Alberobello, Italy",,,US,TrulLetto,,Jun 4 - 9,4,6,114.0,4.85,
"Cabin in Båstad V, Sweden",,,US,"Tyga Gård, probably most beautiful on Bjäre",,Jun 1 - 6,1,6,94.0,4.9,
"Home in Coreggia, Italy",,,US,Silk Trulli,,Jun 3 - 8,3,6,86.0,4.52,
"Trullo in Martina Franca, Italy",,,US,The Olive Tree Court,,Jun 3 - 8,3,6,92.0,4.85,
"Room in Montale Rangone, Modena, Italy",,,US,LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK,Air conditioning,Aug 21 - 26,21,8,73.0,,
"Room in Berlin, Germany",,,US,Friedrichshain Beautiful Sunny Room with Balcony,,Jul 25 - 31,25,7,135.0,5.0,
"Room in Rome, Italy",,,US,Cozy en-suite double room in S. Peter's / Borgo,,Nov 30 - Dec 5,30,,60.0,4.88,
"Room in Santa Lucia, Italy",,,US,Star Night Room - Van Gogh Hills B&B,,Jun 1 - 6,1,6,68.0,4.91,
"Home in Reclesne, France",,,US,La Petite Chaumière,,Jun 2 - 7,2,6,85.0,4.79,
"Farm stay in Asciano, Italy",,,US,Green - Lawns in Tuscany,,Jul 8 - 13,8,7,91.0,4.97,
"Farm stay in Pennabilli, Italy",,,US,Casa Cerbaia | Betulla,,Jun 21 - 26,21,6,86.0,4.95,
"Barn in Nes På Hedmark, Norway",,,US,"Sommerfjøset on Hovelsrud, Helgøya",,Jul 14 - 20,14,7,328.0,4.96,
"Cabin in Torsåker, Sweden",,,US,Cozy cottage in Torsåker (Hofors),,Jun 7 - 12,7,6,75.0,4.83,
"Room in Saint-Mandé, France",,,US,Nice place for your stay in Paris,Air conditioning,Oct 30 - Nov 5,30,,86.0,4.96,
"Cabin in Walpole, UK",Cabin,Walpole,UK,"Peaceful, wooden garden cabin",Air conditioning,Jul 9 - 14,9,7,93.0,4.91,
"Place to stay in East Farndon, UK",Place to stay,East Farndon,UK,Rural farm-Spacious triple bedroom with en suite,Air conditioning,Jul 2 - 7,2,7,71.0,4.92,
"Room in Rüthen, Germany",,,US,Private room in the heart of nature,,Jun 3 - 8,3,6,42.0,4.96,
"Room in Rome, Italy",,,US,Xavier House,,Oct 9 - 14,9,10,43.0,4.89,
"Apartment in Plaka, Greece",,,US,"Akti Karras, Plaka Naxos (up to 2 guests)",,Jun 20 - 25,20,6,55.0,4.91,
"Condo in Saint-Lary-Soulan, France",,,US,Studio lookout,,Jun 1 - 6,1,6,31.0,4.45,
"Room in Borgo Valbelluna, Italy",,,US,Bavarian room in the Dolomites,,Jun 1 - 6,1,6,84.0,4.8,
"Room in Kassel, Germany",,,US,Cosy interesting loam house,,Jun 5 - 12,5,6,78.0,5.0,
"Room in Barcelona , Spain",,,US,Nice room in duplex + terrace near BCN,Air conditioning,Nov 11 - 16,11,11,55.0,4.89,
"Tent in Sabóia, Portugal",,,US,Lost Paradise - A night into the Alentejo!,,Jun 1 - 6,1,6,85.0,4.95,
"Place to stay in Mont-le-Vernois, France",,,US,Cabin in the wild,,Sep 3 - 10,3,9,95.0,4.98,
"Shipping container in Dirlaught, Ireland",,,US,Amazing shipping container house + sea views+ WIFI,"Ocean view, Wi-Fi",Aug 7 - 12,7,8,164.0,4.91,
"Hut in Witzenhausen, Germany",,,US,"Countryside Sleeps, Bakery, Homestay",,Jul 16 - 21,16,7,73.0,4.95,
"Room in Planos, Greece",,,US,Kimiro Hotel Tsilivi,,Jun 5 - 10,5,6,97.0,4.91,
"Apartment in Kadıköy, Turkey",,,US,Studio apartment with AC - Suite 3,Air conditioning,Jun 17 - 22,17,6,34.0,5.0,
"Cottage in Nicosia, Italy",,,US,Sicilian Mountain Oasis - Entire Villa (Smart W.),,Nov 14 - 19,14,11,100.0,4.94,
"Bungalow in Izmir, Turkey",,,US,İzmir Bungalow. ( Urla treehouse 1),,Jun 8 - 13,8,6,74.0,4.82,
"Guesthouse in Perranwell Station, UK",Guesthouse,Perranwell Station,UK,The Folly - Cornwall,,Jun 18 - 23,18,6,111.0,5.0,
"Apartment in Areti, Greece",,,US,Echoes Exclusive Suite,,Jun 29 - Jul 6,29,,526.0,4.98,
"Dome in Wapnica, Poland",,,US,Delightfull Dome with Hot tub & sauna on the beach,"Jacuzzi, Air conditioning",Jun 3 - 8,3,6,319.0,4.98,
"Cabin in Millbrook, UK",Cabin,Millbrook,UK,Romantic Ocean View Couples Retreat Cornwall,Ocean view,Jun 10 - 15,10,6,357.0,5.0,
"Guest suite in La Marsa, Tunisia",,,US,THE AQUARIUM … waterfront 🧜🏾‍♂️,,Jun 26 - Jul 1,26,,61.0,4.72,
"Guesthouse in Jonstorp, Sweden",,,US,Gäststuga Knorrasjön,,Jun 12 - 17,12,6,95.0,,
"Home in Positano, Italy",,,US,Villa Laurito,,Oct 31 - Nov 5,31,,185.0,4.88,
"Cottage in Benalauría, Spain",,,US,"""La Parra"", rural tourism. Your home in paradise.",,Sep 16 - 21,16,9,67.0,4.99,
"Tiny home in Muldenhammer, Germany",,,US,Hascherle Hitt,,Jun 5 - 10,5,6,86.0,5.0,
"Home in Audierne, France",,,US,Villa Trouz Ar Mor,,Jul 1 - 6,1,7,135.0,4.85,
"Bungalow in Izmir, Turkey",,,US,İzmir Bungalow. ( Urla treehouse 1),,Jun 8 - 13,8,6,74.0,4.82,
"Treehouse in Penzance, UK",Treehouse,Penzance,UK,Peaceful Country Treehouse Nr Penzance & St Ives,Air conditioning,Jul 6 - 11,6,7,294.0,4.95,
"Cabin in La Atalaya, Spain",,,US,Cabaña ecológica de madera en la naturaleza,,Jun 11 - 16,11,6,80.0,4.79,
"Tiny home in Vouzela, Portugal",,,US,Gallas Pod House,,Jun 1 - 6,1,6,57.0,5.0,
"Apartment in Thessaloniki, Greece",,,US,Waterfront #41Design - CozyCityCenter Flat,,Jul 8 - 13,8,7,70.0,4.84,
"Treehouse in Torbalı, Turkey",,,US,"Treehouse Izmir 
View all our houses please ..",,Jun 11 - 16,11,6,40.0,4.9,
"Bungalow in Fethiye, Turkey",,,US,Kaktus Suites Fethiye - City Bungalow 2 w/pool,Pool,Jun 17 - 22,17,6,69.0,4.87,
"Yurt in Finestrat, Spain",,,US,Yurt op Off-Grid Homestead,,Jun 4 - 9,4,6,49.0,4.92,
"Cabin in Idrac respailles , France",,,US,Cabin into the wild,,Jun 4 - 9,4,6,77.0,4.67,
"Apartment in Kotor, Montenegro",,,US,💎Boka Bay view apartment.💎,,Jul 8 - 14,8,7,93.0,4.69,
"Home in Chalkida, Greece",,,US,Seaside & Garden Single family home,,Jun 8 - 13,8,6,104.0,4.94,
"Home in Skopelos, Greece",,,US,Del Sol. Studio across the sea 1.,Air conditioning,Jun 1 - 6,1,6,61.0,,
"Place to stay in Scottish Borders, UK",Place to stay,Scottish Borders,UK,"16th Century Scottish Borders Tower, by Earlston",,Jul 13 - 18,13,7,252.0,4.96,
"Loft in Baošići, Montenegro",,,US,Porto Bello Lux ( Sea View & Swimming Pool),"Pool, Ocean view",Jun 5 - 10,5,6,58.0,4.9,
"Home in Atouguia da Baleia, Portugal",,,US,"Spectacular view of Supertubos beach, Peniche",Air conditioning,Oct 1 - 6,1,10,126.0,4.82,
"Home in Bad Sankt Leonhard im Lavanttal, Austria",,,US,1A chalet resting crickets + hiking with indoor sauna,,Jun 22 - 27,22,6,123.0,4.67,
"Vacation home in Punta Prima, Spain",,,US,Beachfront apartment with perfect seaview,"Ocean front, Air conditioning",Jun 1 - 6,1,6,231.0,4.85,
"Treehouse in Verson, France",,,US,2 Cabins perched above a pond!,,Jun 4 - 10,4,6,98.0,4.91,
"Home in Vaiano, Italy",,,US,Casale La Quercia - Tuscany country house,,Jun 21 - 26,21,6,111.0,4.94,
"Cottage in Boscastle, UK",Cottage,Boscastle,UK,"A Boscastle barn, rustic simplicity stunning views",,Jun 11 - 16,11,6,141.0,5.0,
"Cabin in County Wicklow, Ireland",,,US,House with breathtaking views!,,Jul 16 - 21,16,7,222.0,4.97,
"Home in Las Negras, Spain",,,US,La Casita de Las Negras,,Jun 14 - 19,14,6,370.0,4.85,
"Cabin in Serrazone, Italy",,,US,King's Windmill - A little house in the woods,,Jul 21 - 26,21,7,111.0,4.54,
"Lighthouse in Ploemeur, France",,,US,Q3 BNB Premium Residence - The Engineering Tower,,Jun 5 - 10,5,6,147.0,4.8,
"Cabin in Bridge of Earn, UK",Cabin,Bridge of Earn,UK,"The Haven Hut, warm, cosy and cute.",,Jun 30 - Jul 5,30,,64.0,4.67,
"Campsite in Rif, Iceland",,,US,Washitsu.Casa camper Parking place w/house access,"Parking, Air conditioning",Jun 1 - 6,1,6,16.0,,
"Home in Chalkida, Greece",,,US,Seaside & Garden Single family home,,Jun 8 - 13,8,6,104.0,4.94,
"Home in Skopelos, Greece",,,US,Del Sol. Studio across the sea 1.,Air conditioning,Jun 1 - 6,1,6,61.0,,
"Place to stay in Scottish Borders, UK",Place to stay,Scottish Borders,UK,"16th Century Scottish Borders Tower, by Earlston",,Jul 13 - 18,13,7,252.0,4.96,
"Loft in Baošići, Montenegro",,,US,Porto Bello Lux ( Sea View & Swimming Pool),"Pool, Ocean view",Jun 5 - 10,5,6,58.0,4.9,
"Shepherd’s hut in County Durham, UK",Shepherd’s hut,County Durham,UK,Ben's hat,,Jun 18 - 23,18,6,82.0,4.92,
"Treehouse in Verson, France",,,US,2 Cabins perched above a pond!,,Jun 4 - 10,4,6,98.0,4.94,
"Cottage in Boscastle, UK",Cottage,Boscastle,UK,"A Boscastle barn, rustic simplicity stunning views",,Jun 11 - 16,11,6,141.0,5.0,
"Room in Wien, Austria",,,US,Central luxury /Hauptbahnhof,,Sep 17 - 22,17,9,92.0,5.0,
"Cabin in County Wicklow, Ireland",,,US,House with breathtaking views!,,Jul 16 - 21,16,7,222.0,4.85,
