property_name,property_type,amenity_text,amenities_found,amenity_count,date,start_month,start_day,end_month,end_day,price_in_dollar,review_and_rating,rating,review,location,city,country
"Condo in Atlantic City, New Jersey, US",Condo,Highest Reviewed - Ocean Front + Free Parking!,"['Free parking', 'Ocean front', 'Parking']",3,Jun 18 - 23,Jun,18,Jun,23,170.0,4.85 (278),4.85,278.0,"Atlantic City, New Jersey, US","Atlantic City, New Jersey",US
"Cabin in Santa Marta, Colombia",Cabin,The Dawn of Annapurna Cabin,[],0,Jul 29 - Aug 3,Jul,29,Aug,3,61.0,4.87 (188),4.87,188.0,"Santa Marta, Colombia",Santa Marta,Colombia
"Home in Cabo San Lucas, Mexico",Home,"Cabo Center,Ocean view Great price!",['Ocean view'],1,Jun 6 - 11,Jun,6,Jun,11,55.0,4.94 (615),4.94,615.0,"Cabo San Lucas, Mexico",Cabo San Lucas,Mexico
"Home in Kawartha Lakes, Canada",Home,nortehaus - Nordic and Japanese inspired escape,[],0,Jun 18 - 23,Jun,18,Jun,23,402.0,5.0 (24),5.0,24.0,"Kawartha Lakes, Canada",Kawartha Lakes,Canada
"Loft in Cholula, Mexico",Loft,Architect's Loft in Cholula,[],0,Jun 18 - 23,Jun,18,Jun,23,32.0,4.81 (202),4.81,202.0,"Cholula, Mexico",Cholula,Mexico
"Cabin in Jacó, Costa Rica",Cabin,Jungle house 3km to Jaco beach & town center,[],0,Jun 30 - Jul 5,Jun,30,Jul,5,76.0,4.84 (153),4.84,153.0,"Jacó, Costa Rica",Jacó,Costa Rica
"Tiny home in Malibu, California, US",Tiny home,"Malibu Charming GH, Mins Drive to Beach & Hike",[],0,Jul 22 - 27,Jul,22,Jul,27,332.0,4.78 (558),4.78,558.0,"Malibu, California, US","Malibu, California",US
"Apartment in Orlando, Florida, US",Apartment,Studio near Disney,[],0,Jun 10 - 15,Jun,10,Jun,15,80.0,4.43 (132),4.43,132.0,"Orlando, Florida, US","Orlando, Florida",US
"Treehouse in Río Grande, Puerto Rico",Treehouse,Charming Treehouse with Pool,['Pool'],1,Sep 10 - 15,Sep,10,Sep,15,217.0,5.0 (172),5.0,172.0,"Río Grande, Puerto Rico",Río Grande,Puerto Rico
"Loft in Mazatlán, Mexico",Loft,Oceanfront loft,[],0,Jun 10 - 15,Jun,10,Jun,15,100.0,4.92 (177),4.92,177.0,"Mazatlán, Mexico",Mazatlán,Mexico
"Apartment in Cancún, Mexico",Apartment,Majestic Ocean Front Terrace II,['Ocean front'],1,Jul 23 - 29,Jul,23,Jul,29,57.0,4.83 (240),4.83,240.0,"Cancún, Mexico",Cancún,Mexico
"Home in Real Montecassino, Mexico",Home,New! Bamboo Bosque Mio (Stars & Campfires),[],0,Jun 4 - 9,Jun,4,Jun,9,113.0,4.82 (56),4.82,56.0,"Real Montecassino, Mexico",Real Montecassino,Mexico
"Cottage in Huntsville, Canada",Cottage,"Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway",['Jacuzzi'],1,Jun 1 - 6,Jun,1,Jun,6,335.0,4.97 (179),4.97,179.0,"Huntsville, Canada",Huntsville,Canada
"Apartment in La Habana, Cuba",Apartment,Old Havana+Cuban Style Place+Roof Top+WiFi,['Wi-Fi'],1,Jun 4 - 9,Jun,4,Jun,9,57.0,4.48 (161),4.48,161.0,"La Habana, Cuba",La Habana,Cuba
"Home in Vero Beach, Florida, US",Home,"Heated Pool, Putt Putt Golf",['Pool'],1,Jun 11 - 16,Jun,11,Jun,16,468.0,4.93 (15),4.93,15.0,"Vero Beach, Florida, US","Vero Beach, Florida",US
"Room in Cuauhtémoc, , Mexico",Room,Guest Suite in Historic Architecture Home,[],0,Jun 16 - 23,Jun,16,Jun,23,55.0,4.82 (443),4.82,443.0,"Cuauhtémoc, , Mexico","Cuauhtémoc,",Mexico
"Condo in Kaunakakai, Hawaii, US",Condo,$87 a night Molokai Escape Condo,[],0,Jun 29 - Jul 6,Jun,29,Jul,6,101.0,4.76 (337),4.76,337.0,"Kaunakakai, Hawaii, US","Kaunakakai, Hawaii",US
"Treehouse in Atenas, Costa Rica",Treehouse,Treehouse on a Coffee Farm with Ocean View,['Ocean view'],1,Jun 25 - Jul 2,Jun,25,Jul,2,74.0,5.0 (13),5.0,13.0,"Atenas, Costa Rica",Atenas,Costa Rica
"Apartment in Tulum, Mexico",Apartment,Design Casa Patchouli with private pool and lounge,['Pool'],1,Jun 21 - 26,Jun,21,Jun,26,283.0,4.98 (80),4.98,80.0,"Tulum, Mexico",Tulum,Mexico
"Shipping container in Jauca, Puerto Rico",Shipping container,Pequeño espacio Romántico piscina y muelle privado,[],0,Jul 17 - 22,Jul,17,Jul,22,220.0,4.95 (139),4.95,139.0,"Jauca, Puerto Rico",Jauca,Puerto Rico
"Tiny home in Peachland, Canada",Tiny home,Haven in the Woods- tiny home WiFi & solar power,['Wi-Fi'],1,Jun 11 - 16,Jun,11,Jun,16,76.0,5.0 (4),5.0,4.0,"Peachland, Canada",Peachland,Canada
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",Shipping container,Mimosa Y - Beautiful Unique Container Home w' Pool,['Pool'],1,Jun 3 - 8,Jun,3,Jun,8,90.0,4.85 (54),4.85,54.0,"Puerto Viejo de Talamanca, Costa Rica",Puerto Viejo de Talamanca,Costa Rica
"Apartment in Acapulco, Mexico",Apartment,COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,[],0,Jun 4 - 9,Jun,4,Jun,9,42.0,4.57 (226),4.57,226.0,"Acapulco, Mexico",Acapulco,Mexico
"Yurt in Airville, Pennsylvania, US",Yurt,Waterfront Glamping Muddy Creek PA,['Waterfront'],1,Jun 4 - 10,Jun,4,Jun,10,102.0,4.95 (22),4.95,22.0,"Airville, Pennsylvania, US","Airville, Pennsylvania",US
"Boutique hotel in San Juan, Puerto Rico",Boutique hotel,2 Pools on property | Walk to the beach | Rosalina Ocean Park | Luxury Suite 3,[],0,Jul 27 - Aug 2,Jul,27,Aug,2,164.0,4.81 (212),4.81,212.0,"San Juan, Puerto Rico",San Juan,Puerto Rico
"Room in Acapulco, Mexico",Room,Love nest when singing of the Sea!,[],0,Jun 6 - 11,Jun,6,Jun,11,41.0,4.68 (266),4.68,266.0,"Acapulco, Mexico",Acapulco,Mexico
"Home in Pinilla, Costa Rica",Home,Casa La Paz vistas al mar @ Pinilla Highlands,[],0,Jul 30 - Aug 6,Jul,30,Aug,6,146.0,4.86 (7),4.86,7.0,"Pinilla, Costa Rica",Pinilla,Costa Rica
"Farm stay in Siler City, North Carolina, US",Farm stay,Lovely farm cabin experience,[],0,Jun 11 - 16,Jun,11,Jun,16,114.0,5.0 (5),5.0,5.0,"Siler City, North Carolina, US","Siler City, North Carolina",US
"Tiny home in Horning's Mills, Canada",Tiny home,Pine River Bunkies: Heron’s Landing Off Grid Cabin,[],0,Jun 1 - 6,Jun,1,Jun,6,120.0,4.89 (103),4.89,103.0,"Horning's Mills, Canada",Horning's Mills,Canada
"Camper/RV in Ashford, Washington, US",Camper/RV,The Alpine Airstream at Mt. Rainier with Hot Tub,['Jacuzzi'],1,Jun 11 - 16,Jun,11,Jun,16,286.0,5.0 (11),5.0,11.0,"Ashford, Washington, US","Ashford, Washington",US
"Bungalow in Newport Beach, California, US",Bungalow,"Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO",[],0,Jul 31 - Aug 7,Jul,31,Aug,7,229.0,4.8 (289),4.8,289.0,"Newport Beach, California, US","Newport Beach, California",US
"Hut in Guarne, Colombia",Hut,Refugio LOS PAPIROS,[],0,Jun 4 - 9,Jun,4,Jun,9,18.0,4.89 (66),4.89,66.0,"Guarne, Colombia",Guarne,Colombia
"Room in Acapulco, Mexico",Room,Beach crab.,[],0,Jun 1 - 6,Jun,1,Jun,6,43.0,4.74 (270),4.74,270.0,"Acapulco, Mexico",Acapulco,Mexico
"Cabin in Fennville, Michigan, US",Cabin,Fire & Water | Rejuvenating Stay on the Riverbend,[],0,Jun 4 - 9,Jun,4,Jun,9,743.0,4.83 (175),4.83,175.0,"Fennville, Michigan, US","Fennville, Michigan",US
"Home in Tamanique, El Salvador",Home,Black rose -Right house-,[],0,Jun 11 - 16,Jun,11,Jun,16,243.0,4.63 (275),4.63,275.0,"Tamanique, El Salvador",Tamanique,El Salvador
"Nature lodge in Las Galeras, Dominican Republic",Nature lodge,"Casa El Paraiso, Las Galeras (room #5)",[],0,Jun 10 - 15,Jun,10,Jun,15,286.0,4.94 (270),4.94,270.0,"Las Galeras, Dominican Republic",Las Galeras,Dominican Republic
"Room in Monteverde, Costa Rica",Room,Holistic House Diamond,[],0,Jun 5 - 11,Jun,5,Jun,11,160.0,4.96 (274),4.96,274.0,"Monteverde, Costa Rica",Monteverde,Costa Rica
"Tiny home in Malibu, California, US",Tiny home,"Malibu Serene Guest House, Mins to Beach & Hike",[],0,Jun 25 - 30,Jun,25,Jun,30,252.0,4.77 (298),4.77,298.0,"Malibu, California, US","Malibu, California",US
"Apartment in Cancún, Mexico",Apartment,Free Transportation / Premium Beach Loft 1711th,[],0,Jun 1 - 6,Jun,1,Jun,6,138.0,5.0 (15),5.0,15.0,"Cancún, Mexico",Cancún,Mexico
"Cabin in Gilmour, Canada",Cabin,Cozy cabin on 5 acres !,[],0,Jun 4 - 9,Jun,4,Jun,9,86.0,4.73 (124),4.73,124.0,"Gilmour, Canada",Gilmour,Canada
"Condo in Ocean City, Maryland, US",Condo,OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,['Pool'],1,Jun 9 - 16,Jun,9,Jun,16,291.0,4.94 (80),4.94,80.0,"Ocean City, Maryland, US","Ocean City, Maryland",US
"Apartment in Cancún, Mexico",Apartment,Amazing Ocean Front II,['Ocean front'],1,Jul 9 - 14,Jul,9,Jul,14,45.0,4.88 (306),4.88,306.0,"Cancún, Mexico",Cancún,Mexico
"Condo in Rosarito, Mexico",Condo,LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,[],0,Jun 11 - 16,Jun,11,Jun,16,173.0,4.8 (207),4.8,207.0,"Rosarito, Mexico",Rosarito,Mexico
"Room in New York, New York, US",Room,"Lovely Private Room-Manhattan, 70s-Upper East Side",[],0,Jul 9 - 14,Jul,9,Jul,14,103.0,4.93 (30),4.93,30.0,"New York, New York, US","New York, New York",US
"Cottage in Islamorada, Florida, US",Cottage,1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,[],0,Aug 6 - 11,Aug,6,Aug,11,229.0,4.85 (74),4.85,74.0,"Islamorada, Florida, US","Islamorada, Florida",US
"Apartment in Gordonville, Pennsylvania, US",Apartment,“What a wonderful world” - Modern Farmhouse,[],0,Jun 4 - 9,Jun,4,Jun,9,165.0,4.87 (478),4.87,478.0,"Gordonville, Pennsylvania, US","Gordonville, Pennsylvania",US
"Cottage in Quintana Roo, Mexico",Cottage,Glass Roof House #2 at Glass 20.87,[],0,Jun 10 - 15,Jun,10,Jun,15,221.0,4.93 (68),4.93,68.0,"Quintana Roo, Mexico",Quintana Roo,Mexico
"Cabin in Georgetown, Maine, US",Cabin,"Modern Cabin On Pond, AC & Porch",['Air conditioning'],1,Jun 2 - 7,Jun,2,Jun,7,231.0,New,,,"Georgetown, Maine, US","Georgetown, Maine",US
"Apartment in Marina del Rey, California, US",Apartment,Romantic Ocean Penthouse w/ panoramic marina views,[],0,Jun 1 - 8,Jun,1,Jun,8,247.0,4.77 (111),4.77,111.0,"Marina del Rey, California, US","Marina del Rey, California",US
"Hotel in Tepoztlán, Mexico",Hotel,Posada Sarita,[],0,Jun 3 - 10,Jun,3,Jun,10,50.0,4.56 (176),4.56,176.0,"Tepoztlán, Mexico",Tepoztlán,Mexico
"Cottage in Oceanside, California, US",Cottage,"Beach Bungalow on the Sand, Steps to the Ocean",[],0,Jun 3 - 8,Jun,3,Jun,8,483.0,4.93 (213),4.93,213.0,"Oceanside, California, US","Oceanside, California",US
"Apartment in Los Angeles, California, US",Apartment,Historic Venice Apt 1/2 blocks to beach+parking,['Parking'],1,Nov 16 - 21,Nov,16,Nov,21,185.0,4.94 (431),4.94,431.0,"Los Angeles, California, US","Los Angeles, California",US
"Home in Cape Coral, Florida, US",Home,Amazing Modern Home with Pool and Hot Tub!,"['Jacuzzi', 'Pool']",2,Jul 11 - 16,Jul,11,Jul,16,167.0,4.84 (136),4.84,136.0,"Cape Coral, Florida, US","Cape Coral, Florida",US
"Condo in Malibu, California, US",Condo,"Malibu, Carbon Beach - Suite Three",[],0,Jun 4 - 9,Jun,4,Jun,9,649.0,4.8 (425),4.8,425.0,"Malibu, California, US","Malibu, California",US
"Farm stay in Saint Marys, Canada",Farm stay,Cozy Farm Stay Getaway,[],0,Jun 11 - 16,Jun,11,Jun,16,99.0,4.86 (183),4.86,183.0,"Saint Marys, Canada",Saint Marys,Canada
"Tiny home in Mill Village, Canada",Tiny home,UpStream (Waterfront Cabin With Wood Stove & WiFi),"['Waterfront', 'Wi-Fi']",2,Jun 25 - 30,Jun,25,Jun,30,97.0,4.87 (101),4.87,101.0,"Mill Village, Canada",Mill Village,Canada
"Place to stay in Tepoztlán, Mexico",Place to stay,M6. Alojamiento ideal para explorar Tepoztlán,[],0,Jun 25 - Jul 1,Jun,25,Jul,1,40.0,4.86 (28),4.86,28.0,"Tepoztlán, Mexico",Tepoztlán,Mexico
"Cabin in Mineral Bluff, Georgia, US",Cabin,Scenic Solitude-Amazing Mountain views on 5 acres,[],0,Jun 4 - 9,Jun,4,Jun,9,302.0,5.0 (44),5.0,44.0,"Mineral Bluff, Georgia, US","Mineral Bluff, Georgia",US
"Condo in Luquillo, Puerto Rico",Condo,“Playa Luna”- Breathtaking Ocean and City Views,[],0,Jul 2 - 7,Jul,2,Jul,7,138.0,4.88 (159),4.88,159.0,"Luquillo, Puerto Rico",Luquillo,Puerto Rico
"Room in Malibu, California, US",Room,"Peace, Beauty & Ocean View, Malibu",['Ocean view'],1,Sep 12 - 17,Sep,12,Sep,17,189.0,4.95 (1014),4.95,1014.0,"Malibu, California, US","Malibu, California",US
"Treehouse in Sundridge, Canada",Treehouse,Lount Treetop Rentals - Unit 2,[],0,Jun 1 - 6,Jun,1,Jun,6,135.0,4.97 (173),4.97,173.0,"Sundridge, Canada",Sundridge,Canada
"Apartment in Galveston, Texas, US",Apartment,Beach Front Condo In Casa Del Mar,[],0,Jun 18 - 24,Jun,18,Jun,24,205.0,4.72 (389),4.72,389.0,"Galveston, Texas, US","Galveston, Texas",US
"Apartment in Laguna Beach, California, US",Apartment,Laguna Beach Studio Oceanviews 49,[],0,Jun 1 - 6,Jun,1,Jun,6,148.0,4.36 (273),4.36,273.0,"Laguna Beach, California, US","Laguna Beach, California",US
"Apartment in Punta Cana, Dominican Republic",Apartment,Charming Beach Condo in Bavaro Top Location,[],0,Jun 3 - 8,Jun,3,Jun,8,57.0,4.76 (200),4.76,200.0,"Punta Cana, Dominican Republic",Punta Cana,Dominican Republic
"Cabin in Woodford, Vermont, US",Cabin,400+ Airbnb Visits: Incredible Mountain Cabin,[],0,Jun 4 - 9,Jun,4,Jun,9,137.0,4.85 (325),4.85,325.0,"Woodford, Vermont, US","Woodford, Vermont",US
"Cabin in Bowen Island, Canada",Cabin,the legendary wildwood cabins ~ CABIN 2,[],0,Sep 24 - 29,Sep,24,Sep,29,126.0,4.99 (742),4.99,742.0,"Bowen Island, Canada",Bowen Island,Canada
"Hotel room in Laguna Beach, California, US",Hotel room,Oceanfront Laguna Beach Amazing Views 28,[],0,Jun 4 - 9,Jun,4,Jun,9,276.0,4.63 (390),4.63,390.0,"Laguna Beach, California, US","Laguna Beach, California",US
"Place to stay in Hopatcong, New Jersey, US",Place to stay,Lake Sports Home & Super water sports!,[],0,Aug 20 - 25,Aug,20,Aug,25,154.0,5.0 (18),5.0,18.0,"Hopatcong, New Jersey, US","Hopatcong, New Jersey",US
"Guesthouse in Naples, Florida, US",Guesthouse,Waterfront Sea Cottage,['Waterfront'],1,Jun 13 - 18,Jun,13,Jun,18,82.0,4.8 (276),4.8,276.0,"Naples, Florida, US","Naples, Florida",US
"Cabin in Reaboro, Canada",Cabin,Cedar Springs Cabin - A Cozy Hideaway in the Woods,[],0,Jun 16 - 21,Jun,16,Jun,21,346.0,4.97 (76),4.97,76.0,"Reaboro, Canada",Reaboro,Canada
"Apartment in San José del Cabo, Mexico",Apartment,Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,['Ocean front'],1,Jun 22 - 29,Jun,22,Jun,29,78.0,4.75 (186),4.75,186.0,"San José del Cabo, Mexico",San José del Cabo,Mexico
"Cabin in Puerto Viejo de Talamanca, Costa Rica",Cabin,Tiny Beach front house,[],0,Jul 24 - 29,Jul,24,Jul,29,89.0,4.73 (140),4.73,140.0,"Puerto Viejo de Talamanca, Costa Rica",Puerto Viejo de Talamanca,Costa Rica
"Tiny home in Tremont, Maine, US",Tiny home,Coyote's Den at The Howling Woods,[],0,Jun 28 - Jul 3,Jun,28,Jul,3,123.0,4.87 (303),4.87,303.0,"Tremont, Maine, US","Tremont, Maine",US
"Home in Manzanita, Oregon, US",Home,"Near Ocean, BBQ, Dog OK, Cute Manzanita Beach",[],0,Jun 1 - 6,Jun,1,Jun,6,147.0,New,,,"Manzanita, Oregon, US","Manzanita, Oregon",US
"Home in Hamilton, Canada",Home,Stunning house on lake Ontario,[],0,Jun 25 - 30,Jun,25,Jun,30,210.0,4.9 (192),4.9,192.0,"Hamilton, Canada",Hamilton,Canada
"Tiny home in Key Largo, Florida, US",Tiny home,"Oceanfront Lookout Point w/two Kayaks,Beach & Dock",[],0,Aug 12 - 17,Aug,12,Aug,17,254.0,4.86 (90),4.86,90.0,"Key Largo, Florida, US","Key Largo, Florida",US
"Hotel in Willemstad, Curaçao",Hotel,Saint Tropez Boutique Hotel,[],0,Jun 22 - 27,Jun,22,Jun,27,125.0,4.78 (74),4.78,74.0,"Willemstad, Curaçao",Willemstad,Curaçao
"Cabin in Bowen Island, Canada",Cabin,the legendary wildwood cabins ~ CABIN 4,[],0,Jul 8 - 13,Jul,8,Jul,13,173.0,4.98 (678),4.98,678.0,"Bowen Island, Canada",Bowen Island,Canada
"Room in Key West, Florida, US",Room,1-Private room/bbq/patio. 2 full bed 1 couch bed.,[],0,Jul 29 - Aug 3,Jul,29,Aug,3,258.0,4.83 (40),4.83,40.0,"Key West, Florida, US","Key West, Florida",US
"Condo in East End, U.S. Virgin Islands",Condo,Beautiful corner unit condo right on the beach!,[],0,Jun 3 - 8,Jun,3,Jun,8,298.0,4.97 (73),4.97,73.0,"East End, U.S. Virgin Islands",East End,U.S. Virgin Islands
"Boat in Stuart, Florida, US",Boat,House Boat Sunset Bay Marina Stuart Fl,[],0,Sep 10 - 15,Sep,10,Sep,15,127.0,4.92 (279),4.92,279.0,"Stuart, Florida, US","Stuart, Florida",US
"Apartment in Guanacaste Province, Costa Rica",Apartment,Surf Shack Guiones - perfect beach location,[],0,Jun 17 - 24,Jun,17,Jun,24,130.0,4.82 (278),4.82,278.0,"Guanacaste Province, Costa Rica",Guanacaste Province,Costa Rica
"Hut in Balderson, Canada",Hut,Glamping Cabin at Balderson Blueberries,[],0,Jun 11 - 16,Jun,11,Jun,16,80.0,4.89 (76),4.89,76.0,"Balderson, Canada",Balderson,Canada
"Tiny home in Aptos, California, US",Tiny home,Bamboo Cottage in Aptos Mountain Retreat & Spa,[],0,Jul 16 - 21,Jul,16,Jul,21,130.0,4.78 (257),4.78,257.0,"Aptos, California, US","Aptos, California",US
"Guesthouse in Naalehu, Hawaii, US",Guesthouse,The Ohana,[],0,Jun 23 - 28,Jun,23,Jun,28,99.0,4.86 (182),4.86,182.0,"Naalehu, Hawaii, US","Naalehu, Hawaii",US
"Condo in Honolulu, Hawaii, US",Condo,23FL Skyline King Studio w/Ocean & City Views.,[],0,Jun 12 - 18,Jun,12,Jun,18,221.0,4.95 (41),4.95,41.0,"Honolulu, Hawaii, US","Honolulu, Hawaii",US
"Boutique hotel in Miami Beach, Florida, US",Boutique hotel,Room 2 Queen beds- Buffet Breakfast-Steps to beach,[],0,Jun 5 - 10,Jun,5,Jun,10,116.0,4.38 (156),4.38,156.0,"Miami Beach, Florida, US","Miami Beach, Florida",US
"Condo in Miami, Florida, US",Condo,"Luxury Condo in Hotel, amenities Downtown/Brickell",[],0,Jun 11 - 16,Jun,11,Jun,16,219.0,4.94 (72),4.94,72.0,"Miami, Florida, US","Miami, Florida",US
"Tiny home in Sackville, Canada",Tiny home,Enchanting Tiny Home 1 KM from downtown Sackville,[],0,Jun 3 - 8,Jun,3,Jun,8,117.0,4.86 (64),4.86,64.0,"Sackville, Canada",Sackville,Canada
"Apartment in Carolina, Puerto Rico",Apartment,Isla Verde Beach Studio {105},[],0,Jul 23 - 28,Jul,23,Jul,28,97.0,4.67 (433),4.67,433.0,"Carolina, Puerto Rico",Carolina,Puerto Rico
"Condo in Atlantic City, New Jersey, US",Condo,Beachfront Condo Now Available! Sleeps 4 + Parking,"['Ocean front', 'Parking']",2,Jun 4 - 9,Jun,4,Jun,9,133.0,4.51 (88),4.51,88.0,"Atlantic City, New Jersey, US","Atlantic City, New Jersey",US
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",Bungalow,CASA BADAWI in 400m Tropical Garden. Optical Fiber,[],0,Jun 6 - 11,Jun,6,Jun,11,72.0,4.96 (108),4.96,108.0,"Puerto Viejo de Talamanca, Costa Rica",Puerto Viejo de Talamanca,Costa Rica
"Apartment in Santa Teresa Beach, Costa Rica",Apartment,Beachside Apartment with Pool,['Pool'],1,Jun 10 - 15,Jun,10,Jun,15,117.0,4.84 (270),4.84,270.0,"Santa Teresa Beach, Costa Rica",Santa Teresa Beach,Costa Rica
"Condo in Miami Beach, Florida, US",Condo,Oceanfront 16th Floor Brand New Beachfront Flat,['Ocean front'],1,Jun 7 - 12,Jun,7,Jun,12,302.0,4.83 (683),4.83,683.0,"Miami Beach, Florida, US","Miami Beach, Florida",US
"Chalet in Matapalo, Costa Rica",Chalet,"House1 private swming pool, BBQ ranch, wifi 200mb","['Pool', 'Wi-Fi']",2,Jun 26 - Jul 1,Jun,26,Jul,1,43.0,4.83 (108),4.83,108.0,"Matapalo, Costa Rica",Matapalo,Costa Rica
"Room in Panama City Beach, Florida, US",Room,"LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",[],0,Jun 17 - 22,Jun,17,Jun,22,146.0,4.88 (256),4.88,256.0,"Panama City Beach, Florida, US","Panama City Beach, Florida",US
"Apartment in Yachats, Oregon, US",Apartment,Beachfront Escape Unit #1 at Beachcomber Cottages,['Ocean front'],1,Jun 20 - 25,Jun,20,Jun,25,212.0,4.54 (151),4.54,151.0,"Yachats, Oregon, US","Yachats, Oregon",US
"Condo in San Juan, Puerto Rico",Condo,CDM-Beach living @ Condado with pool and parking!,"['Parking', 'Pool']",2,Jul 9 - 14,Jul,9,Jul,14,144.0,4.84 (141),4.84,141.0,"San Juan, Puerto Rico",San Juan,Puerto Rico
"Condo in Luquillo, Puerto Rico",Condo,AHHH-MAZING VIEWS! Beach Front Apt.,[],0,Sep 6 - 12,Sep,6,Sep,12,121.0,4.88 (490),4.88,490.0,"Luquillo, Puerto Rico",Luquillo,Puerto Rico
"Home in Avalon, California, US",Home,"Tropical Island Escape w/ Deck, Walk to Avalon Bay",[],0,Jun 19 - 24,Jun,19,Jun,24,336.0,4.34 (80),4.34,80.0,"Avalon, California, US","Avalon, California",US
"Cabin in Sorrento, Canada",Cabin,"The Thimbleberry MicroCabin near lake, hot tub use",['Jacuzzi'],1,Jun 4 - 9,Jun,4,Jun,9,108.0,4.97 (146),4.97,146.0,"Sorrento, Canada",Sorrento,Canada
"Room in Miami, Florida, US",Room,Private room/bathroom in modern house with Pool,['Pool'],1,Jul 8 - 14,Jul,8,Jul,14,128.0,4.83 (181),4.83,181.0,"Miami, Florida, US","Miami, Florida",US
"Apartment in Miami Beach, Florida, US",Apartment,"Modern 1/1, Half a Block from The Ocean",[],0,Jun 12 - 17,Jun,12,Jun,17,140.0,4.75 (308),4.75,308.0,"Miami Beach, Florida, US","Miami Beach, Florida",US
"Room in Kailua-Kona, Hawaii, US",Room,Satori Suite (The Bamboo House),[],0,Jun 9 - 14,Jun,9,Jun,14,199.0,4.91 (292),4.91,292.0,"Kailua-Kona, Hawaii, US","Kailua-Kona, Hawaii",US
"Apartment in Cancún, Mexico",Apartment,Cancun Suites (Standard Room),[],0,Jul 2 - 8,Jul,2,Jul,8,81.0,4.47 (192),4.47,192.0,"Cancún, Mexico",Cancún,Mexico
"Room in Galveston, Texas, US",Room,Tropicana Suite-Grand Manor Luxury Mansion Loft,[],0,Aug 6 - 12,Aug,6,Aug,12,92.0,4.86 (494),4.86,494.0,"Galveston, Texas, US","Galveston, Texas",US
"Room in Kissimmee, Florida, US",Room,Disney/Universal Home Away from Home!,[],0,Aug 20 - 25,Aug,20,Aug,25,162.0,4.95 (221),4.95,221.0,"Kissimmee, Florida, US","Kissimmee, Florida",US
"Villa in Morongo Valley, California, US",Villa,Pink Galaxy | Private Observatory · Hot Tub · Pool,"['Jacuzzi', 'Pool']",2,Jun 7 - 12,Jun,7,Jun,12,283.0,5.0 (9),5.0,9.0,"Morongo Valley, California, US","Morongo Valley, California",US
"Room in La Habana, Cuba",Room,Camera argento in tipica casa coloniale,[],0,Jun 19 - 24,Jun,19,Jun,24,42.0,4.81 (168),4.81,168.0,"La Habana, Cuba",La Habana,Cuba
"Room in Kihei, Hawaii, US",Room,"GARDEN ROOM, private bathroom, separate entrance",[],0,Jun 24 - 29,Jun,24,Jun,29,184.0,4.96 (284),4.96,284.0,"Kihei, Hawaii, US","Kihei, Hawaii",US
"Treehouse in Zona Hotelera, Mexico",Treehouse,"Tree House - Beach Area, KS bed, 3 PPL",[],0,Jul 10 - 15,Jul,10,Jul,15,157.0,4.75 (165),4.75,165.0,"Zona Hotelera, Mexico",Zona Hotelera,Mexico
"Apartment in Playa del Carmen, Mexico",Apartment,It Hotel & Residences - Studio Rental in PDC,[],0,Jun 3 - 8,Jun,3,Jun,8,75.0,4.79 (253),4.79,253.0,"Playa del Carmen, Mexico",Playa del Carmen,Mexico
"Hotel in Isla Mujeres, Mexico",Hotel,"Cozy & Neat hotel room 2pax ocean view WiFi,Pool","['Ocean view', 'Pool', 'Wi-Fi']",3,Aug 5 - 10,Aug,5,Aug,10,115.0,4.52 (92),4.52,92.0,"Isla Mujeres, Mexico",Isla Mujeres,Mexico
"Hostel in Tulum, Mexico",Hostel,Meteora Stay & Coffehouse Tulum - Deluxe Queen,[],0,Jun 1 - 6,Jun,1,Jun,6,59.0,4.74 (105),4.74,105.0,"Tulum, Mexico",Tulum,Mexico
"Home in Oceanside, Oregon, US",Home,Movie Theater + Kid Friendly | Book the Dome!,[],0,Jun 4 - 9,Jun,4,Jun,9,200.0,4.97 (64),4.97,64.0,"Oceanside, Oregon, US","Oceanside, Oregon",US
"Room in Wilmington, New York, US",Room,My Adirondack Home - Very Scenic,[],0,Jun 5 - 10,Jun,5,Jun,10,107.0,4.96 (520),4.96,520.0,"Wilmington, New York, US","Wilmington, New York",US
"Condo in Miami Beach, Florida, US",Condo,New 16th Floor Beachfront 180º Oceanview Apartment,['Ocean front'],1,Jun 1 - 6,Jun,1,Jun,6,302.0,4.87 (659),4.87,659.0,"Miami Beach, Florida, US","Miami Beach, Florida",US
"Room in Cancún, Mexico",Room,Camilo's Luxury Shared Townhouse,[],0,Jul 13 - 18,Jul,13,Jul,18,81.0,4.87 (301),4.87,301.0,"Cancún, Mexico",Cancún,Mexico
"Room in Cancún, Mexico",Room,"Surf, family & friends! Tropical Room in downtown",[],0,Jun 3 - 8,Jun,3,Jun,8,51.0,4.95 (86),4.95,86.0,"Cancún, Mexico",Cancún,Mexico
